Times_serviced,Total_service_pay,Average_service_pay,Loyal_or_Disloyal,Loyal,Service_time,Commercial_electronic_messages,Model_year,Number_of_years,Customer_cost,Rate,Number_active_cars,number_historic_cars,odometer_reading,Income,province,Term,Total_monthly_payment,Total_pay,Warranty_pay,Age,Days_since_last_service,Used_or_New,product_category
8,348.6799927,43.58499909,0,Disloyal,1,0,2015,12,0,1.75,1,2,59558,59558,4,60,554,33240,605.828992,57,1148.833333,1,1
7,2125.559914,303.6514163,0,Disloyal,1,0,2012,9,0,1.25,1,2,44498,60000,4,60,404,24240,605.7449936,51,2049.791667,1,0
10,1495.58,149.558,0,Disloyal,1,1,2017,14,0,0.75,1,4,15359,60000,3,36,1177,42372,605.7135,71,789.8333333,1,0
12,11168.68973,930.7241442,1,Loyal,1,1,2016,13,0,0.75,1,3,57796,57796,3,48,667,32016,605.535,72,900.8333333,1,0
5,1767.790009,353.5580018,0,Disloyal,2,0,2016,13,0,0.75,1,1,37668,60000,5,60,879,52740,605.367013,56,1006.791667,0,0
3,499.9499969,166.649999,0,Disloyal,1.5,0,2017,14,0,1.25,2,2,23789,60000,1,43.5,968,42108,605.2934692,43,583.4166667,0,0
13,3666.120071,282.0092362,0,Disloyal,2,0,2015,12,0,0.75,1,1,84805,84805,1,60,1193,71580,604.9365131,56,1240.833333,0,1
16,1075.380009,67.21125056,0,Disloyal,1,0,2015,12,0,0.75,2,1,38478,60000,4,60,1347,80820,604.8629974,39,1258.833333,0,0
10,183.9000015,18.39000015,0,Disloyal,9,0,2017,14,0,0,2,2,25582,60000,2,45,609,27405,604.4010079,52,717.9166666,1,1
6,119.8999977,19.98333295,0,Disloyal,1,0,2017,14,0,1,1,3,26000,60000,3,48,519,24912,604.3904846,65,456.8333333,0,0
14,2891.090015,206.5064296,1,Loyal,1,1,2016,13,0,0.75,1,6,48198,48198,2,48,1068,51264,604.3065,50,780.8333333,0,0
8,90.78000259,11.34750032,1,Loyal,1,0,2016,13,0,0.75,1,1,44413,60000,2,48,1103,52944,604.3065,56,907.7916667,1,0
8,2367.880005,295.9850006,1,Loyal,1,0,2016,13,0,0.75,1,2,51796,51796,2,60,1043,62580,604.3065,40,1163.833333,0,0
25,4385.429962,175.4171985,0,Disloyal,1.5,0,2018,15,0,1.75,2,3,55308,55308,1,54,556.5,30051,604.2960004,63,836.2916669,1,1
19,13445.32999,707.6489468,0,Disloyal,1,1,2016,13,0,0.75,2,1,78815,78815,1,48,744,35712,604.2645218,44,1089.833333,1,0
10,1831.789951,183.1789951,1,Loyal,3,0,2016,13,0,0.75,1,1,27152,60000,1,48,1303,62544,603.9914795,36,1111.833333,0,1
8,163.9099998,20.48874998,0,Disloyal,1,0,2018,15,0,1.5,1,2,18323,60000,3,39,447,17433,603.6659821,38,474.8333333,1,0
7,2180.879983,311.5542833,0,Disloyal,1,0,2013,10,0,0,2,1,99413,99413,4,48,260,12480,603.4769862,30,1024.791667,1,0
10,2118.560013,211.8560013,0,Disloyal,2,0,2012,9,101.31,0.75,4,2,111221,111221,1,84,416,34944,603.1620086,58,1101.833333,0,0
17,4609.769978,271.1629399,0,Disloyal,1,1,2016,13,0,0.75,2,2,43005,60000,2,48,550.5,26424,602.9100018,37,965.2916669,0,0
17,4609.769978,271.1629399,0,Disloyal,1,1,2016,13,0,0.75,2,2,43005,60000,2,48,550.5,26424,602.9100018,37,965.2916669,0,1
25,9661.880049,386.475202,0,Disloyal,2,0,2017,14,0,0.75,1,2,53950,53950,3,60,1074,64440,602.8155,51,858.8333333,0,1
14,7746.649963,553.3321402,0,Disloyal,1,0,2017,14,0,0.75,1,1,18013,60000,4,60,979,58740,602.8049744,55,844.8333333,1,0
8,449,56.125,1,Loyal,1,0,2018,15,0,2,1,5,9259,60000,1,48,586,28128,602.4585,47,186.7917,0,0
12,917.6100273,76.46750228,0,Disloyal,1,0,2016,13,0,0.75,1,1,71919,71919,2,48,735,35280,602.4165,56,850.8333333,0,0
21,4925.139999,234.5304761,0,Disloyal,1.5,0,2019,16,0,0,2,2,44326,60000,1,42,1312,55104,602.3219966,58,785.8958334,1,0
11,1245.470001,113.2245455,1,Loyal,23,0,2018,15,0,1.75,1,1,11253,60000,2,48,566,27168,602.2065308,66,352.8333333,0,1
7,1097.940006,156.8485723,0,Disloyal,2,0,2011,8,410.33,1.25,1,1,53601,53601,2,84,266,22344,601.954509,36,2748.791667,0,1
11,878.7199707,79.8836337,0,Disloyal,1,0,2017,14,0,0.75,1,2,42228,60000,1,60,802,48120,601.8704925,49,567.7916667,0,0
5,941.4600067,188.2920013,0,Disloyal,2,1,2015,12,0,0.75,1,1,40427,60000,2,60,401,24060,601.7970154,44,877.8333333,0,0
24,12033.77959,501.4074829,1,Loyal,1,1,2017,14,885,1.25,3,2,51930,51930,1,48,637,30576,601.7760121,60,648.7916667,0,1
9,5315.960045,590.6622272,0,Disloyal,1,0,2014,11,0,0,2,3,84001,84001,2,48,531,25488,601.7340084,48,778.8333333,1,0
10,452.7000122,45.27000122,1,Loyal,1,0,2018,15,0,1.5,1,3,16079,60000,2,48,596,28608,601.6080231,33,458.8333333,1,0
9,120.7799988,13.41999987,0,Disloyal,14,0,2017,14,0,1.25,1,5,13204,60000,1,60,774,46440,601.5870026,65,640.7916667,1,1
7,2292.779961,327.5399944,1,Loyal,1,0,2017,14,0,0.75,1,1,50061,50061,4,39,1186,46254,601.5869925,56,374.8333333,1,0
9,3700.169956,411.1299951,1,Loyal,1,0,2017,14,0,1.5,1,3,21476,60000,4,48,1215,58320,601.5134944,40,536.8333333,1,0
18,4107.48996,228.1938867,1,Loyal,1,0,2016,13,0,0.75,1,2,37176,60000,1,48,909,43632,601.314,43,1012.791667,1,0
13,2554.839996,196.5261535,1,Loyal,2,1,2015,12,0,1,2,3,74922,74922,1,60,412,24720,601.1564847,72,1326.791667,0,1
1,111,111,1,Loyal,1,0,2018,15,0,1.75,1,2,12862,60000,1,36,2116,76176,601.0725128,56,367.8333333,1,0
8,609.5500107,76.19375134,0,Disloyal,1,1,2017,14,0,0,1,5,80292,80292,3,66,820.5,54153,600.8729987,42,973.8333332,0,0
41,22417.91004,546.7782937,1,Loyal,2,0,2019,16,0,0,1,9,44,60000,3,39,940,36660,600.6525,56,60.83333,1,0
8,1556.309998,194.5387498,0,Disloyal,3,0,2018,15,0,1.5,1,1,18569,60000,1,24,176,4224,600.432,21,189.7917,1,0
8,635.9499969,79.49374961,1,Loyal,2,0,2018,15,0,1.5,1,3,31298,60000,1,45,681,30645,600.432,58,494.8333333,0,0
47,22109.93983,470.4242517,1,Loyal,1,0,2017,14,0,1,1,4,53134,53134,3,48,733,35184,600.3900157,56,737.8333333,0,0
9,3988.519974,443.168886,0,Disloyal,1,0,2014,11,0,0.75,1,2,55271,55271,1,48,1177,56496,600.0014933,56,2110.791667,0,0
16,5812.259924,363.2662453,0,Disloyal,3,0,2017,14,0,0.75,1,3,68275,68275,1,48,816,39168,599.9279941,46,665.8333333,0,1
23,6961.999981,302.6956513,0,Disloyal,1,0,2017,14,0,1.25,2,3,32764,60000,1,48,818,39264,599.823,60,659.7916667,0,1
19,8229.18996,433.1152611,0,Disloyal,1,0,2017,14,0,0.75,1,1,55726,55726,3,48,765,36720,599.655,56,947.7916667,0,1
4,942.6599884,235.6649971,0,Disloyal,2.5,0,2018,15,717.12,1.5,1,1,128838,128838,3,54,585,31590,599.6235072,41,565.3125,1,0
10,467.2900047,46.72900047,0,Disloyal,1,1,2018,15,0,1.75,1,2,10256,60000,1,48,688,33024,599.4870026,47,289.7916667,1,0
11,4399.400005,399.945455,0,Disloyal,4,0,2018,15,0,1.5,1,2,14561,60000,1,48,913,43824,599.0040115,51,466.8333333,1,1
12,1471.529999,122.6274999,0,Disloyal,2,0,2016,13,0,0.75,1,4,21796,60000,1,48,629,30192,598.9409821,63,803.8333333,0,1
17,5264.480057,309.6752975,0,Disloyal,7,0,2019,16,0,1.75,1,1,9135,60000,2,45,745,33525,598.815,27,224.7917,0,0
5,549.1999912,109.8399982,0,Disloyal,1,0,2015,12,0,0.75,1,2,48256,48256,3,48,452,21696,598.479011,53,1067.833333,1,0
21,3775.020046,179.7628593,1,Loyal,1,1,2017,14,0,0.75,2,5,69514,69514,4,39,1238,48282,598.3845054,49,792.8333333,0,1
40,8303.119984,207.5779996,0,Disloyal,1,0,2018,15,0,2,2,8,137022,137022,3,48,841.5,40392,598.3844846,43,867.8333165,0,0
15,1177.609992,78.5073328,1,Loyal,1,0,2017,14,0,0.75,2,3,28578,60000,5,48,814,39072,598.3320182,60,369.8333333,1,0
2,462.8999939,231.449997,0,Disloyal,6,0,2017,14,0,1,1,1,37508,60000,3,45,729,32805,598.3005,56,282.7916667,1,0
15,512.8999939,34.19333293,0,Disloyal,1,1,2015,12,0,0.75,2,5,104498,104498,3,60,743,44580,598.3004974,61,1130.833333,0,0
3,0,0,1,Loyal,15,1,2016,13,0,0,1,1,40320,60000,1,48,628,30144,598.2479862,42,970.7916667,0,1
3,0,0,1,Loyal,1,0,2016,13,0,0.75,1,1,30962,60000,2,48,700,33600,598.0799899,44,595.7916667,1,0
52,15670.62,301.3580769,1,Loyal,1,0,2017,14,0,1,3,4,43705,60000,1,39,1167,45513,597.912,47,801.8333333,0,0
17,3407.509945,200.4417615,0,Disloyal,2,0,2017,14,0,0.75,2,9,32969,60000,1,36,1005,36180,597.8490051,46,501.8333333,1,0
14,196.7699966,14.05499976,0,Disloyal,1,1,2016,13,0,0.75,1,2,32525,60000,2,48,834,40032,597.513,49,780.8333333,1,0
11,1757.199944,159.7454495,0,Disloyal,1,0,2011,8,96.25,0.75,2,2,52872,52872,3,84,575,48300,597.4394897,52,2704.833333,1,0
20,5000.299953,250.0149977,0,Disloyal,1,0,2018,15,0,1.5,1,4,27530,60000,3,42,597,25074,597.429008,51,472.8333333,1,0
7,673.3999939,96.19999913,0,Disloyal,0.666666667,1,2018,15,0,1.5,2,3,15398,60000,1,52,1149.333333,59765.33332,597.3345154,56,572.9444444,1,0
15,4018.909973,267.9273315,0,Disloyal,1,0,2014,11,0,0,1,2,82017,82017,1,24,1079,25896,596.925006,47,1730.791667,1,0
5,0,0,0,Disloyal,3,0,2018,15,0,1.5,1,1,16393,60000,2,48,1325,63600,596.925,56,201.7917,0,0
89,22876.94982,257.04438,0,Disloyal,2.333333333,0,2019,16,0,0,4,14,17708,60000,1,43,1405.666667,60443.66668,596.3789905,56,279.5,1,0
8,2165.170044,270.6462555,0,Disloyal,4,0,2017,14,0,0.75,1,1,62902,62902,1,42,875,36750,596.2319866,48,435.8333333,0,1
17,7444.329993,437.9017643,0,Disloyal,1,0,2017,14,0,1.25,1,3,60847,60847,3,48,1141,54768,596.0849943,48,491.8333333,1,0
11,760.5,69.13636364,0,Disloyal,2,1,2017,14,0,0.75,1,4,54535,54535,1,39,994,38766,596.0324936,58,886.8333333,0,0
22,3522.630011,160.119546,0,Disloyal,1,0,2017,14,0,1.25,2,2,24725,60000,1,36,685,24660,595.959,56,540.7916667,0,1
24,10244.95985,426.8733271,0,Disloyal,1,1,2016,13,0,0.75,1,1,57649,57649,3,48,635,30480,595.874998,57,1205.833333,0,1
120,80221.03953,668.5086628,0,Disloyal,1,0,2015,12,0,1,3,1,61638,61638,3,60,1752,105120,595.4235042,56,599.7916667,0,1
4,0,0,0,Disloyal,1,0,2016,13,0,0.75,1,1,58275,58275,5,60,862.5,51750,595.3079981,56,1197.333333,0,0
2,448.5299988,224.2649994,0,Disloyal,12.5,0,2018,15,0,1.5,1,1,19607,60000,1,48,852.5,40920,595.0769999,56,339.8125,1,1
7,5658.510071,808.3585816,0,Disloyal,1,0,2018,15,0,1.5,2,2,37790,60000,1,48,931,44688,595.0244895,56,366.8333333,0,0
7,5658.510071,808.3585816,0,Disloyal,1,0,2018,15,0,1.5,2,2,37790,60000,1,48,931,44688,595.0244895,56,366.8333333,0,0
6,200,33.33333333,1,Loyal,8,1,2017,14,0,0.75,1,1,26552,60000,2,48,637,30576,594.9719773,34,823.8333333,0,1
13,2421.230011,186.2484624,0,Disloyal,6,0,2016,13,0,0,2,4,66137,66137,1,60,905,54300,594.9405,55,744.8333333,0,0
13,0,0,0,Disloyal,2,0,2016,13,1040.8,0.75,1,1,42692,60000,2,48,993,47664,594.9299744,56,940.7916667,0,0
10,833.2700005,83.32700005,0,Disloyal,1,0,2016,13,566.48,0.75,1,4,25027,60000,3,48,642,30816,594.8039795,66,992.7916667,0,0
10,11798.10992,1179.810992,0,Disloyal,1,0,2018,15,0,1.5,1,4,10392,60000,5,39,1703,66417,594.7935013,56,376.8333333,1,0
23,12616.62004,548.5486974,1,Loyal,1,0,2018,15,0,1.75,2,3,10298,60000,1,48,840,40320,594.4995026,55,345.8333333,0,0
21,2296.389999,109.3519047,0,Disloyal,1,1,2017,14,0,1,1,6,35197,60000,1,39,618,24102,594.4470154,54,663.7916667,0,1
19,6520.350052,343.1763185,1,Loyal,2,0,2017,14,0,1.25,1,8,36070,60000,3,36,578,20808,594.2055038,61,655.7916667,1,0
21,1912.099976,91.05237981,0,Disloyal,2,0,2013,10,191.15,0,4,2,43784,60000,3,36,1289,46404,594.1425009,48,2165.833333,1,0
5,214.8500023,42.97000046,0,Disloyal,5,1,2017,14,0,0.75,1,1,55076,55076,1,39,618,24102,594.1424909,72,505.8333333,0,1
18,5184.820057,288.0455587,0,Disloyal,1,0,2015,12,0,0.75,1,1,67043,67043,2,60,1158,69480,594.0479917,33,401.8333333,1,0
16,7679.389927,479.9618704,1,Loyal,2,0,2018,15,0,1.5,1,1,28794,60000,1,42,439,18438,593.5335005,60,479.8333333,1,0
4,29.95000076,7.48750019,1,Loyal,1,0,2017,14,0,0.75,1,1,26626,60000,5,48,849,40752,593.4600128,56,737.8333333,1,0
12,4673.859993,389.4883328,0,Disloyal,1,0,2018,15,0,0,1,1,14329,60000,4,48,864,41472,593.4600048,36,130.8333333,0,0
3,0,0,1,Loyal,6,0,2015,12,0,0,1,2,52409,52409,1,60,734,44040,593.3444962,69,577.7916667,0,0
1,0,0,1,Loyal,14,0,2016,13,0,0.75,1,2,31960,60000,2,48,839,40272,593.2814947,63,81.83333333,0,1
5,712.0900078,142.4180016,1,Loyal,1,1,2017,14,0,0.75,1,1,26852,60000,1,36,934,33624,593.0505,26,743.8333333,0,0
10,2449.129929,244.9129929,0,Disloyal,1,0,2016,13,0,0.75,1,2,41451,60000,2,48,1144,54912,592.9875,66,1030.833333,0,0
10,3262.280014,326.2280014,0,Disloyal,1,0,2016,13,0,0,1,4,63185,63185,1,48,1677,80496,592.8720049,56,969.7916667,1,0
6,349.7999878,58.29999797,0,Disloyal,1,0,2019,16,216.79,2,1,1,80631,80631,3,46.5,1089,50638.5,592.7249875,56,635.8333332,0,1
2,702.1400261,351.0700131,0,Disloyal,9,0,2018,15,0,1.75,2,3,52422,52422,2,45,1507,67815,592.6515,66,35.33333,0,1
30,15655.79996,521.8599987,0,Disloyal,2,0,2019,16,0,2,2,4,10462,60000,3,36,1574,56664,592.6095,56,219.7917,1,0
6,946.630022,157.7716703,0,Disloyal,1,0,2016,13,0,0.75,1,1,67723,67723,3,48,538,25824,592.5045035,31,751.8333333,1,0
10,3932.999992,393.2999992,0,Disloyal,1,0,2015,12,0,0.75,1,1,40159,60000,2,60,754,45240,592.4729987,43,1243.833333,1,0
7,2045.120003,292.1600004,0,Disloyal,1,0,2016,13,0,0.75,2,5,78785,78785,3,48,876,42048,591.801,66,200.7917,1,1
6,0,0,1,Loyal,1,1,2017,14,0,0.75,1,1,46446,46446,1,48,562,26976,591.738,46,227.7917,1,0
8,5698.029991,712.2537489,0,Disloyal,1,0,2013,10,0,0.75,1,3,71604,71604,1,60,627,37620,591.4649872,51,1284.791667,1,0
28,12819.40015,457.8357196,0,Disloyal,1,0,2016,13,0,0.75,1,2,63975,63975,2,48,1663,79824,591.3284986,46,1041.833333,0,1
43,14272.75,331.9244186,1,Loyal,1,1,2018,15,0,0,3,3,26674,60000,1,36,989,35604,591.1079855,59,414.8333333,1,0
3,827.5399933,275.8466644,1,Loyal,4,0,2018,15,0,2,1,1,5293,60000,1,48,817,39216,591.0135,50,81.83333,0,1
15,2043.64999,136.2433327,0,Disloyal,1,0,2017,14,0,1,1,3,31746,60000,2,48,633,30384,590.6774872,55,457.8333333,1,0
7,0,0,0,Disloyal,1,0,2017,14,0,0.75,2,1,32295,60000,1,43.5,413,17965.5,590.62499,28,632.7916669,0,0
11,402.5499878,36.59545344,0,Disloyal,1,0,2018,15,0,1.5,1,3,44601,60000,2,48,1030,49440,590.5934978,39,721.8125002,1,0
4,150.8000031,37.70000078,1,Loyal,2,0,2017,14,0,0,4,7,53455,53455,2,39,1368,53352,590.3415,56,810.8333333,0,0
14,5602.920006,400.2085719,0,Disloyal,1,0,2018,15,0,1.5,1,2,17542,60000,3,45,835,37575,590.1,39,464.8333333,0,0
14,18787.15997,1341.939998,0,Disloyal,1,0,2018,15,0,2,1,1,20617,60000,3,39,1180,46020,589.8899872,56,278.7916667,0,0
14,159,11.35714286,0,Disloyal,1,1,2016,13,0,0.75,1,1,71099,71099,1,39,570,22230,589.7639843,32,884.8333333,1,0
12,174.9900055,14.58250046,1,Loyal,2,0,2017,14,0,0.75,1,1,73818,73818,1,48,696,33408,589.575,49,1115.833333,0,1
4,6690.089844,1672.522461,1,Loyal,2,0,2018,15,0,1.5,1,1,25570,60000,3,48,439,21072,589.3020138,59,397.8333333,0,1
16,9336.290119,583.5181324,0,Disloyal,13,0,2017,14,0,0.75,1,2,37368,60000,3,48,572,27456,589.3019897,38,852.8333333,0,1
14,2821.290041,201.5207172,0,Disloyal,1,0,2016,13,0,0,1,2,50089,50089,3,48,533,25584,589.3019897,60,871.8333333,0,0
5,872.1800079,174.4360016,1,Loyal,1,0,2016,13,0,0.75,1,1,45458,45458,1,48,546,26208,589.1970154,38,593.7916667,1,1
9,1989.539978,221.0599976,1,Loyal,8,0,2016,13,0,0.75,1,1,79388,79388,2,48,929,44592,589.1444962,51,1016.791667,0,0
6,1903.520004,317.253334,0,Disloyal,1,0,2017,14,0,0.75,1,1,28656,60000,3,45,984,44280,589.0920035,56,648.7916667,1,0
14,3212.519981,229.4657129,0,Disloyal,1,0,2011,8,0,1.5,3,4,77799,77799,1,84,591,49644,589.050012,45,1543.833333,1,0
13,400.8299942,30.83307648,0,Disloyal,1,0,2017,14,0,0.75,1,4,55485,55485,3,48,776,37248,588.7034876,48,645.7916667,1,1
18,2909.969994,161.6649997,0,Disloyal,1,0,2011,8,109.81,0.75,1,1,70938,70938,1,60,454,27240,588.525,55,1001.791667,0,1
6,543.0299835,90.50499725,0,Disloyal,1,0,2018,15,0,1.75,1,1,17981,60000,4,48,613,29424,588.482991,26,107.8333,1,0
4,13885.78008,3471.44502,0,Disloyal,34,0,2017,14,0,0.75,1,1,38287,60000,3,42,740,31080,588.4725128,56,891.8333333,0,1
6,684.8099976,114.1349996,0,Disloyal,1,0,2016,13,0,0.75,1,3,30293,60000,3,48,628,30144,588.4725,54,228.7917,0,0
2,0,0,0,Disloyal,0.5,0,2017,14,0,0.75,1,1,72517,72517,2,54,878,47412,588.4620006,42,970.8958335,0,0
35,4555.400021,130.1542863,1,Loyal,1,0,2016,13,0,0.75,1,5,14985,60000,4,48,1863,89424,588.4304718,41,1192.833333,0,0
9,1629.259953,181.0288837,0,Disloyal,2.5,0,2017,14,0,1,1,1,77183,77183,3,54,710.5,38367,588.0840035,39,1044.8125,0,0
4,900.5900154,225.1475039,0,Disloyal,2,1,2016,13,0,0.75,2,1,73507,73507,1,60,814,48840,588,41,289.7916667,1,0
8,0,0,1,Loyal,2,1,2016,13,0,0.75,1,1,54467,54467,1,39,1114,43446,587.9160073,38,771.8333333,1,0
9,2243.160023,249.2400026,0,Disloyal,1,1,2017,14,0,0.75,1,1,31155,60000,3,48,693,33264,587.6325256,62,423.8333333,1,0
7,1100.699997,157.2428567,1,Loyal,1,0,2018,15,0,2,1,1,15504,60000,3,48,604,28992,587.5274872,31,298.7916667,1,0
23,2576.199966,112.0086942,1,Loyal,1,0,2016,13,0,0,1,4,79318,79318,3,48,853,40944,587.3490051,58,1048.833333,1,0
17,7391.179989,434.7752935,0,Disloyal,2,0,2017,14,0,0.75,3,3,47725,47725,1,42,1078,45276,587.3490046,59,654.7916667,0,0
6,979.4099884,163.2349981,0,Disloyal,4,0,2013,10,0,0.75,1,1,86826,86826,2,48,638,30624,587.3489991,27,1307.791667,0,1
13,4812.850021,370.2192324,1,Loyal,1,1,2017,14,0,1,1,2,7845,60000,3,36,804,28944,587.0655,52,438.8333333,0,1
6,373.6300049,62.27166748,1,Loyal,3,0,2017,14,0,0.75,1,1,55094,55094,1,60,1595,95700,587.0654846,49,801.8333333,0,0
7,179.5,25.64285714,0,Disloyal,1,0,2018,15,0,1.5,2,1,29401,60000,1,36,630,22680,586.803,24,348.8333333,1,1
17,845.5999756,49.74117504,0,Disloyal,0.666666667,0,2019,16,0,0,4,7,33765,60000,1,42,1010.666667,42448.00001,586.782,60,754.9305556,1,0
8,3100.569962,387.5712453,0,Disloyal,1,0,2016,13,0,1.5,1,1,36766,60000,2,48,832,39936,586.6560013,43,406.8333333,1,0
12,236.7699966,19.73083305,1,Loyal,1,1,2017,14,322.28,0.75,1,1,19163,60000,5,48,581,27888,586.5825256,65,793.8333333,1,0
5,0,0,0,Disloyal,2,1,2017,14,0,0.75,1,1,68571,68571,2,48,616.5,29592,586.5089884,47,967.8333332,1,0
5,653.6099854,130.7219971,0,Disloyal,16,0,2012,9,0,0,2,1,139487,139487,4,48,556,26688,586.4985057,55,2270.833333,0,1
29,17688.51,609.9486207,0,Disloyal,1,1,2016,13,0,0.75,2,3,31742,60000,1,48,599.5,28776,586.4774977,66,899.3125,1,0
29,17688.51,609.9486207,0,Disloyal,1,1,2016,13,0,0.75,2,3,31742,60000,1,48,599.5,28776,586.4774977,66,899.3125,1,0
16,2131.080017,133.1925011,0,Disloyal,1,0,2016,13,0,0.75,1,1,50111,50111,1,48,528,25344,586.3200036,56,1172.833333,1,0
6,0,0,1,Loyal,1,0,2018,15,0,1.5,1,2,12673,60000,2,48,1028,49344,586.204501,56,404.8333333,0,0
4,1948.559998,487.1399995,0,Disloyal,4,0,2012,9,0,1.75,1,1,80784,80784,1,84,481,40404,586.0259949,74,1356.791667,1,1
9,1258.669983,139.8522203,0,Disloyal,3,0,2016,13,0,0.75,1,2,42676,60000,1,48,1062,50976,585.837,56,779.8333333,1,0
18,9671.239986,537.2911103,0,Disloyal,3,0,2013,10,35.4,0.75,1,1,112507,112507,3,48,354,16992,585.8054718,32,1048.833333,1,1
21,7088.139996,337.530476,0,Disloyal,1,1,2016,13,0,0.75,1,1,76162,76162,2,48,960,46080,585.5850028,64,982.7916667,1,0
7,716.6000061,102.3714294,0,Disloyal,1,0,2011,8,0,1.5,1,3,141573,141573,1,60,628,37680,585.3225128,50,1286.791667,1,0
2,0,0,0,Disloyal,1,0,2013,10,115.83,0.75,1,1,81286,81286,4,60,504.5,30270,585.3015063,38,856.9166665,0,0
29,14590.49009,503.1203479,0,Disloyal,1,0,2011,8,0,0,3,3,119736,119736,4,60,565,33900,585.1544769,65,2795.791667,0,0
18,15896.88981,883.160545,0,Disloyal,32,1,2015,12,0,0.75,3,2,67488,67488,3,48,567,27216,585.0914995,50,1026.791667,0,1
4,0,0,0,Disloyal,23,0,2016,13,0,0.75,1,1,34222,60000,1,48,751,36048,585.0705231,65,1209.833333,0,1
9,8143.169926,904.7966584,0,Disloyal,1,0,2012,9,103.03,1.25,3,1,131002,131002,3,60,515,30900,584.8289795,65,1401.833333,0,0
6,4248.93996,708.15666,0,Disloyal,4,0,2014,11,0,0.75,1,2,158292,158292,3,72,947,68184,584.7659861,56,1377.791667,1,1
16,380.3200073,23.77000046,0,Disloyal,1,0,2017,14,0,0.75,1,4,15114,60000,2,60,479,28740,584.6715074,73,768.8333333,0,0
16,2766.900028,172.9312518,1,Loyal,4,0,2016,13,0,0.75,1,2,78801,78801,3,39,719,28041,584.3670065,53,739.8333333,0,0
10,3031.300064,303.1300064,0,Disloyal,1,0,2011,8,98.93,0.75,1,1,107484,107484,3,84,264,22176,584.3460205,37,1198.833333,1,0
14,1477.129982,105.5092844,0,Disloyal,1,0,2016,13,0,0.75,1,1,67847,67847,3,48,534,25632,584.1884889,61,862.8333333,1,0
9,1076.109985,119.5677761,1,Loyal,2,0,2017,14,0,1,1,5,72405,72405,1,36,1009,36324,584.1045065,27,793.8333333,0,1
12,704.8400269,58.73666891,0,Disloyal,1,0,2016,13,0,0.75,1,1,64009,64009,1,60,750,45000,584.073,48,912.7916667,1,0
10,1385.01001,138.501001,1,Loyal,1,1,2018,15,0,1.75,1,3,19446,60000,1,48,1080,51840,583.9574936,60,346.8333333,1,0
20,5762.169904,288.1084952,1,Loyal,1,1,2016,13,0,0.75,1,1,56698,56698,3,48,645,30960,583.9365051,65,996.7916667,0,0
10,10650.62036,1065.062036,0,Disloyal,1,0,2016,13,0,0.75,1,1,70900,70900,3,48,641,30768,583.8525,56,961.7916667,0,1
15,2921.910027,194.7940018,0,Disloyal,1,0,2017,14,0,0.75,1,3,36811,60000,1,45,856,38520,583.8315042,56,788.8333333,1,0
4,0,0,0,Disloyal,1,0,2018,15,0,1.75,1,1,8149,60000,1,36,785,28260,583.8105103,33,302.8333333,0,0
6,2987.130127,497.8550212,0,Disloyal,2,0,2018,15,0,1.75,1,2,16700,60000,1,24,721,17304,583.6425064,23,387.8333333,1,0
3,1867.22998,622.4099933,0,Disloyal,2.5,1,2017,14,0,0.75,1,2,50363,50363,4,60,1499.5,89970,583.6004985,64,949.8125002,0,0
7,201.3399963,28.76285661,0,Disloyal,1,0,2016,13,0,0.75,1,1,30609,60000,2,48,985,47280,583.3905011,31,1117.833333,1,0
11,4234.909988,384.9918171,0,Disloyal,1,0,2017,14,0,0.75,1,3,41860,60000,1,48,799,38352,583.3695282,58,436.8333333,1,1
8,840.4900055,105.0612507,0,Disloyal,1,1,2016,13,0,0.75,1,1,40765,60000,3,36,203,7308,583.2855,63,437.8333333,1,0
5,874.7900162,174.9580032,0,Disloyal,2,0,2016,13,0,0.75,1,1,70659,70659,3,48,767,36816,582.9495,36,990.7916667,0,1
7,686.6400127,98.09143039,0,Disloyal,2,0,2017,14,0,0.75,1,2,39744,60000,1,48,603,28944,582.8235,53,527.8333333,0,0
2,209.9499969,104.9749985,0,Disloyal,1,0,2012,9,101.1,0,1,2,121439,121439,1,60,489,29340,582.7080231,38,732.8333333,1,0
12,594.5100098,49.54250082,0,Disloyal,8,0,2012,9,180.16,1.25,3,5,67623,67623,2,60,215,12900,582.3614991,46,1226.833333,1,0
3,0,0,0,Disloyal,1,0,2017,14,0,0.75,2,4,13788,60000,5,39,1535,59865,582.1305038,60,631.7916667,0,0
7,5468.499924,781.2142749,0,Disloyal,1,0,2017,14,0,1.25,1,1,23456,60000,1,48,873,41904,581.9520093,43,326.8333333,1,0
9,186.3400002,20.70444447,0,Disloyal,1,0,2016,13,0,0.75,1,1,48423,48423,2,60,1226,73560,581.7105,56,1048.833333,1,0
9,0,0,1,Loyal,1,0,2016,13,0,0.75,1,2,41005,60000,2,48,1195,57360,581.7105,60,984.7916667,1,0
12,1445.690002,120.4741668,1,Loyal,1,0,2017,14,0,0.75,1,1,35459,60000,2,48,958,45984,581.678986,62,655.7916667,0,0
10,882.8599854,88.28599854,1,Loyal,1,1,2016,13,0,0.75,1,2,52870,52870,1,48,523,25104,581.6475,63,849.8333333,0,0
30,5310.859971,177.0286657,0,Disloyal,1,0,2018,15,0,1.5,1,4,37944,60000,3,45,1002,45090,581.2485112,43,431.8333333,1,0
