Times_serviced,Total_service_pay,Average_service_pay,Loyal_or_Disloyal,Loyal,Service_time,Commercial_electronic_messages,Model_year,Number_of_years,Customer_cost,Rate,Number_active_cars,number_historic_cars,odometer_reading,Income,province,Term,Total_monthly_payment,Total_pay,Warranty_pay,Age,Days_since_last_service,Used_or_New,product_category
16,2631.589951,164.4743719,1,Loyal,1,0,2017,14,0,0.75,1,2,61505,61505,3,48,843,40464,4348.911072,52,1020.791667,1,0
43,29518.53003,686.4774426,0,Disloyal,16,1,2013,10,0,1,2,1,136573,136573,3,84,570,47880,4343.010205,64,1496.833333,0,1
7,2435.649998,347.9499997,0,Disloyal,1,0,2014,11,0,1.25,1,3,34581,60000,3,36,820,29520,4342.023042,62,1370.791667,1,0
5,0,0,1,Loyal,45,0,2017,14,0,0.75,1,1,37871,60000,4,48,716,34368,4333.6125,46,494.8333333,0,1
8,0,0,0,Disloyal,1,0,2018,15,0,1.5,2,7,30733,60000,2,42,979,41118,4333.024616,56,612.2916835,1,0
15,2887.679993,192.5119995,1,Loyal,3,0,2016,13,1052,0,1,1,56657,56657,1,48,461,22128,4327.511938,46,1246.833333,1,0
26,28400.51996,1092.327691,1,Loyal,1,1,2016,13,0,0,1,6,77028,77028,3,48,812,38976,4327.438559,68,1097.833333,0,0
11,563.1799927,51.19818115,0,Disloyal,1,0,2016,13,0,0.75,1,2,50670,50670,1,48,1020,48960,4325.160051,33,894.8333333,1,0
15,4553.039997,303.5359998,1,Loyal,1,1,2018,15,0,0,1,5,13822,60000,2,45,1319,59355,4322.902,71,653.7916667,0,1
11,1434.189991,130.3809083,0,Disloyal,1.5,0,2016,13,0,1,1,1,160268,160268,3,84,988,82992,4318.240407,52,1557.833333,0,0
29,16582.10014,571.7965566,0,Disloyal,26.66666667,0,2016,13,0,1.5,2,2,76809,76809,4,52,1478.333333,76873.33332,4316.098444,28,1125.486111,0,1
8,874.9499969,109.3687496,0,Disloyal,1,0,2016,13,3702,0.75,1,1,56890,56890,4,36,1791,64476,4314.502551,56,822.8333333,0,0
